,seed,fit,loss_weights,cond,mix_ratio,neural_loss,weight_path,step,CKA_fneurons.ustimuli,labels,CKA_magneto.left.var6,CKA_magneto.var6,CKA_magneto.var6_ceiled,CKA_nano.left.var6,CKA_nano.var6,CKA_nano.var6_ceiled,Igustibagus2024.IT_readout-accuracy,ImageNet_adv_val_acc1,ImageNet_adv_val_acc5,ImageNet_adv_val_loss,ImageNet_val_acc1,ImageNet_val_acc5,ImageNet_val_loss,dicarlo.Rajalingham2018public-i2n,dicarlo.Rajalingham2018public-i2n_acc,averaged_ceiled_CKA,averaged_ceiled_CKA_HVM,normalized_adv_val
0,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,0.0,0.3581284284591675,False,0.8725071549415588,0.33646905422210693,0.5607021383805473,0.30758529901504517,0.3660721778869629,0.4390006583395879,0.6249473094940186,0.5747195482254028,0.8605769276618958,1.8039052486419678,0.7992788553237915,0.9391025900840759,0.7975446581840515,0.440827339887619,0.440827339887619,0.4998513983600676,0.4998513983600676,0.7190476069738906
1,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,659.0,0.3619767427444458,False,0.8693200349807739,0.3438687324523926,0.5730331844455157,0.3121378421783447,0.37501490116119385,0.4497249407130721,0.6190022826194763,0.45232370495796204,0.7670272588729858,2.6049773693084717,0.7377804517745972,0.9150640964508057,1.0321792364120483,0.42299923300743103,0.42299923300743103,0.5113790625792939,0.5113790625792939,0.6130871370608686
2,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,1319.0,0.36444175243377686,False,0.87177973985672,0.3435365557670593,0.5724796352395801,0.31323230266571045,0.3738122582435608,0.44828270864934133,0.6231122612953186,0.4449118673801422,0.7664262652397156,2.6126232147216797,0.7421875,0.9156650900840759,1.0306495428085327,0.42567411065101624,0.42567411065101624,0.5103811719444608,0.5103811719444608,0.59946020025956
3,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,1979.0,0.3620801568031311,False,0.8670555949211121,0.3393280506134033,0.5654664558418612,0.3151015639305115,0.3823903203010559,0.45856968241570334,0.6185344457626343,0.4559294879436493,0.7750400900840759,2.577152729034424,0.7431890964508057,0.9182692170143127,1.0150327682495117,0.42655545473098755,0.42655545473098755,0.5120180691287822,0.5120180691287822,0.6134770950233241
4,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,2639.0,0.5681202411651611,False,0.8743234872817993,0.39496052265167236,0.658174078263097,0.35610485076904297,0.4667459726333618,0.5597305712936956,0.633404552936554,0.44711539149284363,0.7586137652397156,2.587682008743286,0.7279647588729858,0.9084535241127014,1.0904642343521118,0.43379801511764526,0.43379801511764526,0.6089523247783963,0.6089523247783963,0.6141992260518969
5,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,3299.0,0.6880255341529846,False,0.882171094417572,0.4397233724594116,0.7327682357116415,0.4221741557121277,0.5076292753219604,0.6087585987690134,0.6290490031242371,0.42568108439445496,0.7411859035491943,2.8518478870391846,0.7065304517745972,0.8942307829856873,1.1848809719085693,0.4231785535812378,0.4231785535812378,0.6707634172403274,0.6707634172403274,0.6024950280986036
6,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,3959.0,0.7159789204597473,False,0.8784158229827881,0.4620920419692993,0.7700440584642521,0.43299853801727295,0.48349857330322266,0.5798206059022258,0.6196760535240173,0.41786858439445496,0.7287660241127014,2.922154188156128,0.6893028616905212,0.8870192170143127,1.2434180974960327,0.4191054105758667,0.4191054105758667,0.674932332183239,0.674932332183239,0.6062191347496058
7,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,4619.0,0.7151440382003784,False,0.889114260673523,0.47107791900634766,0.78501839386501,0.42448121309280396,0.46767324209213257,0.5608425703131465,0.6098204851150513,0.42828527092933655,0.7431890964508057,2.8084025382995605,0.700120210647583,0.8898237347602844,1.2249679565429688,0.4127611517906189,0.4127611517906189,0.6729304820890782,0.6729304820890782,0.6117310490625458
8,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,5279.0,0.7121449112892151,False,0.8894103765487671,0.45798957347869873,0.7632075817468416,0.42352569103240967,0.4669947624206543,0.5600289246977702,0.6125766634941101,0.4192708432674408,0.7383813858032227,2.7860352993011475,0.6838942170143127,0.8854166865348816,1.2737253904342651,0.4012310802936554,0.4012310802936554,0.6616182532223058,0.6616182532223058,0.6130638815720036
9,5,"ImageNet, IT, ","[1.0, 1.0, 0.0]",240201-final-labels_0-mix_1,100:100,logCKA,240201-final-labels_0-mix_1/model_cornet_s-loss_logCKA-ds_sachimajajhongpublic-fanimals_All-neurons_All-stimuli_All-seed_5/version_0/,5939.0,0.7094804644584656,False,0.8868508338928223,0.45639491081237793,0.7605501879812578,0.4156690835952759,0.4729224443435669,0.5671375126314586,0.6068840622901917,0.42828527092933655,0.7465945482254028,2.7099485397338867,0.6840945482254028,0.8800080418586731,1.2978886365890503,0.40109413862228394,0.40109413862228394,0.6638438503063582,0.6638438503063582,0.6260615174325589
